Frame,Time,WRUX,WRUY,WRUZ,WRRX,WRRY,WRRZ,FARX,FARY,FARZ,FAUX,FAUY,FAUZ,CMC1X,CMC1Y,CMC1Z,CMC2X,CMC2Y,CMC2Z,CMC5X,CMC5Y,CMC5Z,MCP1X,MCP1Y,MCP1Z,MCP2X,MCP2Y,MCP2Z,MCP3X,MCP3Y,MCP3Z,MCP4X,MCP4Y,MCP4Z,MCP5X,MCP5Y,MCP5Z,IPX,IPY,IPZ,FT1X,FT1Y,FT1Z,PIP2X,PIP2Y,PIP2Z,DIP2X,DIP2Y,DIP2Z,FT2X,FT2Y,FT2Z,PIP3X,PIP3Y,PIP3Z,DIP3X,DIP3Y,DIP3Z,FT3X,FT3Y,FT3Z,PIP4X,PIP4Y,PIP4Z,DIP4X,DIP4Y,DIP4Z,FT4X,FT4Y,FT4Z,PIP5X,PIP5Y,PIP5Z,DIP5X,DIP5Y,DIP5Z,FT5X,FT5Y,FT5Z
21,0.13333,501.582,-11.351,-60.082,452.662,-7.645,-59.682,464.997,4.826,-16.338,508.112,0.987,-7.408,428.888,-28.61,-93.078,462.187,4.136,-102.458,502.302,-10.308,-102.407,418.668,-25.375,-129.017,455.849,20.113,-144.63,483.338,16.382,-144.224,499.563,5.057,-137.11,513.661,-8.122,-132.747,418.064,-33.283,-167.029,428.924,-38.965,-186.705,458.696,1.715,-199.569,453.92,-27.392,-213.785,451.849,-42.025,-216.191,492.105,4.902,-199.943,483.117,-23.17,-221.946,479.573,-39.59,-227.735,513.582,-5.455,-185.176,505.08,-29.406,-211.414,493.974,-40.041,-221.916,527.874,-20.618,-174.273,521.032,-34.282,-194.367,513.285,-40.104,-202.388
22,0.14,501.577,-11.347,-60.08,452.651,-7.651,-59.686,464.98,4.816,-16.333,508.109,0.979,-7.417,428.875,-28.601,-93.086,462.183,4.134,-102.457,502.303,-10.3,-102.408,418.64,-25.37,-129.023,455.849,20.119,-144.627,483.346,16.378,-144.229,499.562,5.066,-137.098,513.667,-8.129,-132.737,418.06,-33.272,-167.031,428.933,-38.966,-186.706,458.688,1.704,-199.558,453.919,-27.38,-213.791,451.846,-42.038,-216.193,492.099,4.898,-199.929,483.113,-23.168,-221.927,479.56,-39.596,-227.722,513.574,-5.452,-185.181,505.069,-29.404,-211.409,493.986,-40.023,-221.915,527.884,-20.601,-174.274,521.04,-34.279,-194.363,513.273,-40.101,-202.38
23,0.14667,501.59,-11.352,-60.089,452.645,-7.644,-59.679,464.973,4.826,-16.331,508.115,0.986,-7.415,428.87,-28.609,-93.089,462.185,4.138,-102.457,502.299,-10.299,-102.401,418.66,-25.372,-129.019,455.845,20.122,-144.62,483.334,16.377,-144.224,499.557,5.066,-137.094,513.672,-8.131,-132.744,418.061,-33.274,-167.03,428.92,-38.961,-186.71,458.694,1.705,-199.567,453.916,-27.382,-213.788,451.844,-42.025,-216.191,492.115,4.894,-199.931,483.107,-23.165,-221.929,479.564,-39.595,-227.726,513.583,-5.445,-185.184,505.075,-29.41,-211.41,493.994,-40.029,-221.916,527.879,-20.606,-174.281,521.039,-34.277,-194.367,513.285,-40.107,-202.391
24,0.15333,501.578,-11.355,-60.084,452.637,-7.655,-59.68,464.974,4.829,-16.331,508.107,0.997,-7.413,428.862,-28.608,-93.089,462.187,4.136,-102.465,502.303,-10.306,-102.405,418.656,-25.371,-129.016,455.843,20.118,-144.63,483.335,16.378,-144.23,499.562,5.062,-137.095,513.661,-8.12,-132.737,418.065,-33.282,-167.035,428.927,-38.954,-186.711,458.69,1.71,-199.569,453.919,-27.377,-213.785,451.845,-42.028,-216.192,492.113,4.895,-199.93,483.127,-23.181,-221.939,479.566,-39.595,-227.722,513.584,-5.435,-185.167,505.077,-29.409,-211.413,493.966,-40.041,-221.914,527.881,-20.609,-174.278,521.03,-34.271,-194.368,513.274,-40.105,-202.381
25,0.16,501.579,-11.342,-60.083,452.652,-7.65,-59.681,464.984,4.829,-16.341,508.107,0.995,-7.412,428.862,-28.611,-93.083,462.178,4.14,-102.452,502.288,-10.291,-102.396,418.657,-25.365,-129.016,455.841,20.118,-144.619,483.332,16.377,-144.228,499.552,5.061,-137.101,513.665,-8.126,-132.729,418.058,-33.279,-167.032,428.928,-38.963,-186.7,458.691,1.712,-199.561,453.914,-27.392,-213.787,451.838,-42.023,-216.185,492.106,4.907,-199.923,483.117,-23.17,-221.938,479.563,-39.583,-227.719,513.573,-5.452,-185.181,505.088,-29.403,-211.422,493.98,-40.034,-221.921,527.886,-20.598,-174.275,521.048,-34.27,-194.377,513.286,-40.1,-202.389
26,0.16667,501.567,-11.343,-60.075,452.631,-7.653,-59.676,464.966,4.828,-16.333,508.11,1.001,-7.411,428.861,-28.61,-93.085,462.174,4.139,-102.459,502.297,-10.296,-102.4,418.659,-25.371,-129.014,455.702,20.019,-144.613,483.328,16.385,-144.223,499.564,5.059,-137.12,513.659,-8.126,-132.729,418.058,-33.271,-167.033,428.924,-38.959,-186.711,458.692,1.72,-199.561,453.906,-27.381,-213.787,451.849,-42.028,-216.193,492.098,4.9,-199.926,483.115,-23.167,-221.94,479.564,-39.588,-227.723,513.578,-5.436,-185.18,505.086,-29.391,-211.41,493.986,-40.021,-221.916,527.874,-20.606,-174.276,521.025,-34.278,-194.36,513.287,-40.093,-202.387
27,0.17333,501.562,-11.348,-60.079,452.632,-7.659,-59.685,464.97,4.833,-16.331,508.107,1.011,-7.411,428.879,-28.609,-93.083,462.181,4.139,-102.464,502.299,-10.294,-102.399,418.652,-25.377,-129.017,455.846,20.116,-144.624,483.323,16.379,-144.225,499.552,5.068,-137.086,513.668,-8.127,-132.741,418.057,-33.277,-167.031,428.92,-38.956,-186.706,458.681,1.712,-199.563,453.913,-27.38,-213.785,451.846,-42.034,-216.189,492.103,4.904,-199.921,483.125,-23.165,-221.938,479.563,-39.584,-227.726,513.574,-5.45,-185.179,505.079,-29.399,-211.413,493.985,-40.027,-221.913,527.881,-20.587,-174.277,521.028,-34.274,-194.37,513.274,-40.097,-202.38
28,0.18,501.573,-11.344,-60.085,452.634,-7.655,-59.681,464.956,4.825,-16.334,508.107,1.011,-7.411,428.872,-28.614,-93.078,462.169,4.141,-102.456,502.293,-10.292,-102.398,418.649,-25.367,-129.013,455.835,20.119,-144.617,483.334,16.382,-144.223,499.545,5.065,-137.103,513.662,-8.128,-132.74,418.056,-33.273,-167.034,428.918,-38.962,-186.699,458.687,1.719,-199.562,453.912,-27.377,-213.79,451.841,-42.027,-216.191,492.094,4.915,-199.921,483.124,-23.179,-221.953,479.567,-39.589,-227.718,513.572,-5.451,-185.166,505.075,-29.403,-211.41,493.991,-40.018,-221.916,527.874,-20.599,-174.27,521.046,-34.26,-194.374,513.273,-40.103,-202.38
29,0.18667,501.566,-11.338,-60.078,452.627,-7.657,-59.683,464.966,4.836,-16.334,508.099,1.002,-7.412,428.867,-28.61,-93.079,462.17,4.135,-102.452,502.286,-10.287,-102.397,418.648,-25.365,-129.022,455.719,20.024,-144.614,483.325,16.383,-144.221,499.569,5.065,-137.116,513.644,-8.126,-132.725,418.055,-33.278,-167.024,428.916,-38.969,-186.704,458.686,1.713,-199.553,453.911,-27.384,-213.776,451.85,-42.023,-216.192,492.1,4.91,-199.928,483.119,-23.161,-221.929,479.56,-39.589,-227.717,513.57,-5.448,-185.165,505.085,-29.398,-211.411,493.978,-40.027,-221.912,527.873,-20.607,-174.272,521.027,-34.273,-194.366,513.265,-40.104,-202.384
30,0.19333,501.562,-11.345,-60.087,452.635,-7.656,-59.681,464.969,4.831,-16.337,508.1,1.004,-7.42,428.868,-28.609,-93.082,462.174,4.134,-102.448,502.288,-10.293,-102.394,418.648,-25.365,-129.014,455.843,20.112,-144.624,483.344,16.407,-144.215,499.558,5.067,-137.12,513.658,-8.131,-132.731,418.064,-33.278,-167.031,428.929,-38.962,-186.705,458.694,1.715,-199.557,453.917,-27.381,-213.782,451.831,-42.013,-216.187,492.095,4.91,-199.924,483.114,-23.17,-221.93,479.565,-39.595,-227.721,513.574,-5.451,-185.17,505.069,-29.392,-211.41,493.989,-40.026,-221.917,527.862,-20.607,-174.271,521.038,-34.266,-194.376,513.28,-40.093,-202.386
31,0.2,501.562,-11.344,-60.078,452.638,-7.649,-59.683,464.968,4.84,-16.342,508.108,1.015,-7.412,428.861,-28.608,-93.077,462.179,4.132,-102.457,502.293,-10.286,-102.395,418.655,-25.376,-129.016,455.837,20.119,-144.617,483.33,16.383,-144.228,499.544,5.063,-137.095,513.655,-8.129,-132.735,418.047,-33.274,-167.028,428.927,-38.954,-186.7,458.688,1.713,-199.561,453.912,-27.374,-213.787,451.832,-42.009,-216.189,492.099,4.906,-199.931,483.114,-23.161,-221.93,479.569,-39.598,-227.711,513.574,-5.438,-185.166,505.075,-29.394,-211.409,493.994,-40.021,-221.918,527.871,-20.597,-174.273,521.032,-34.268,-194.375,513.271,-40.1,-202.378
